| ----- | Package Sizes | ------ |
|4piece, 6piece, 10piece, 20piece|
| ----- | ----- | ----- | ------ |

[0, 0, 0, 50]
[0, 0, 2, 49]
[0, 0, 4, 48]
[0, 0, 6, 47]
[0, 0, 8, 46]
[0, 0, 10, 45]
[0, 0, 12, 44]
[0, 0, 14, 43]
[0, 0, 16, 42]
[0, 0, 18, 41]
[0, 0, 20, 40]
[0, 0, 22, 39]
[0, 0, 24, 38]
[0, 0, 26, 37]
[0, 0, 28, 36]
[0, 0, 30, 35]
[0, 0, 32, 34]
[0, 0, 34, 33]
[0, 0, 36, 32]
[0, 0, 38, 31]
[0, 0, 40, 30]
[0, 0, 42, 29]
[0, 0, 44, 28]
[0, 0, 46, 27]
[0, 0, 48, 26]
[0, 0, 50, 25]
[0, 0, 52, 24]
[0, 0, 54, 23]
[0, 0, 56, 22]
[0, 0, 58, 21]
[0, 0, 60, 20]
[0, 0, 62, 19]
[0, 0, 64, 18]
[0, 0, 66, 17]
[0, 0, 68, 16]
[0, 0, 70, 15]
[0, 0, 72, 14]
[0, 0, 74, 13]
[0, 0, 76, 12]
[0, 0, 78, 11]
[0, 0, 80, 10]
[0, 0, 82, 9]
[0, 0, 84, 8]
[0, 0, 86, 7]
[0, 0, 88, 6]
[0, 0, 90, 5]
[0, 0, 92, 4]
[0, 0, 94, 3]
[0, 0, 96, 2]
[0, 0, 98, 1]
[0, 0, 100, 0]
[0, 5, 1, 48]
[0, 5, 3, 47]
[0, 5, 5, 46]
[0, 5, 7, 45]
[0, 5, 9, 44]
[0, 5, 11, 43]
[0, 5, 13, 42]
[0, 5, 15, 41]
[0, 5, 17, 40]
[0, 5, 19, 39]
[0, 5, 21, 38]
[0, 5, 23, 37]
[0, 5, 25, 36]
[0, 5, 27, 35]
[0, 5, 29, 34]
[0, 5, 31, 33]
[0, 5, 33, 32]
[0, 5, 35, 31]
[0, 5, 37, 30]
[0, 5, 39, 29]
[0, 5, 41, 28]
[0, 5, 43, 27]
[0, 5, 45, 26]
[0, 5, 47, 25]
[0, 5, 49, 24]
[0, 5, 51, 23]
[0, 5, 53, 22]
[0, 5, 55, 21]
[0, 5, 57, 20]
[0, 5, 59, 19]
[0, 5, 61, 18]
[0, 5, 63, 17]
[0, 5, 65, 16]
[0, 5, 67, 15]
[0, 5, 69, 14]
[0, 5, 71, 13]
[0, 5, 73, 12]
[0, 5, 75, 11]
[0, 5, 77, 10]
[0, 5, 79, 9]
[0, 5, 81, 8]
[0, 5, 83, 7]
[0, 5, 85, 6]
[0, 5, 87, 5]
[0, 5, 89, 4]
[0, 5, 91, 3]
[0, 5, 93, 2]
[0, 5, 95, 1]
[0, 5, 97, 0]
[0, 10, 0, 47]
[0, 10, 2, 46]
[0, 10, 4, 45]
[0, 10, 6, 44]
[0, 10, 8, 43]
[0, 10, 10, 42]
[0, 10, 12, 41]
[0, 10, 14, 40]
[0, 10, 16, 39]
[0, 10, 18, 38]
[0, 10, 20, 37]
[0, 10, 22, 36]
[0, 10, 24, 35]
[0, 10, 26, 34]
[0, 10, 28, 33]
[0, 10, 30, 32]
[0, 10, 32, 31]
[0, 10, 34, 30]
[0, 10, 36, 29]
